Image Path;Caption;adjusted Caption
images/3.jpg;a kitchen with a refrigerator, stove, sink and a table;a kitchen equipped with a table, sink, stove, and refrigerator;refrigerator
images/5.jpg;a large window in a kitchen with a shower           ;a kitchen with a shower and a generously sized window;shower
images/6.jpg;a kitchen with a refrigerator, sink, and a cabinet   ;a kitchen featuring a cabinet, sink, and refrigerator;sink
images/8.jpg;a kitchen with a stove, sink, and refrigerator      ;a kitchen equipped with a refrigerator, sink, and stove;stove
images/10.jpg;a kitchen with a sink, counter, and a window        ;a kitchen with a counter, sink, and a window;counter
images/15.jpg;a kitchen with a stove, microwave, and a dishwasher;a kitchen equipped with a dishwasher, stove, and microwave;dishwasher
images/16.jpg;a large mirror in a room with a large window       ;a room with a large window and a sizable mirror;mirror
images/17.jpg;a bike is leaning against a wall in a room        ;a room where a bike leans against a wall;bike
images/18.jpg;a room with a wooden floor and a wall with a rug   ;a room featuring a wooden floor and a wall adorned with a rug;rug
images/20.jpg;a kitchen with a stove, microwave, sink and refrigerator;a kitchen with a microwave, sink, stove, and refrigerator;microwave
images/22.jpg;a kitchen with a sink, a chair, and a large window ;a kitchen with a large window, a chair, and a sink;chair
images/23.jpg;a kitchen with a refrigerator, stove, and a sink   ;a kitchen equipped with a sink, refrigerator, and stove;stove
images/25.jpg;a mirror reflecting a train passing by            ;a mirror reflecting the passage of a train;train
images/29.jpg;a kitchen with a stove, sink, and refrigerator    ;a kitchen with a sink, refrigerator, and stove;refrigerator
images/30.jpg;a kitchen with a sink, a chair, and a window       ;a kitchen with a window, a chair, and a sink;window
images/31.jpg;a kitchen with a stove, sink, and refrigerator    ;a kitchen with a refrigerator, sink, and stove;sink
images/32.jpg;a room with a wooden floor and a wall with a door  ;a room with a door and a wooden floor;door
images/33.jpg;a room with a wall and a window                   ;a room with a window and a wall;window
images/34.jpg;a room with a table and chairs and a wall with a door;a room with a door, table, and chairs;table
images/35.jpg;a room with a door open and a wall with a floor    ;a room with an open door and a floor;open door
images/39.jpg;a kitchen with a stove, refrigerator, sink and a table;a kitchen with a table, sink, refrigerator, and stove;table
images/40.jpg;a kitchen with a refrigerator, stove, sink and a table;a kitchen with a table, sink, stove, and refrigerator;sink
images/42.jpg;a kitchen with a table, refrigerator, and a stove  ;a kitchen with a stove, refrigerator, and a table;stove
images/44.jpg;a kitchen with a stove, refrigerator, sink and a table;a kitchen with a table, sink, stove, and refrigerator;refrigerator
images/45.jpg;a kitchen with a stove, sink, and refrigerator     ;a kitchen with a refrigerator, sink, and stove;refrigerator
images/46.jpg;a kitchen with a sink, a counter, and a window      ;a kitchen with a window, counter, and sink;counter
images/47.jpg;a wall with a mirror and a light in it            ;a wall with a light and a mirror;mirror
images/48.jpg;a table with a bowl of fruit on it                ;a table with a bowl of fruit;bowl
images/49.jpg;a room with a white wall and a blue door           ;a room with a blue door and a white wall;blue door
images/51.jpg;a kitchen with a sink, stove, and a counter top    ;a kitchen with a counter, sink, and stove;sink
images/52.jpg;a kitchen witha refrigerator, stove, sink and a dishwasher;a kitchen with a dishwasher, sink, refrigerator, and stove;dishwasher
images/53.jpg;a kitchen with a refrigerator, stove, and a window   ;a kitchen with a window, stove, refrigerator;refrigerator
images/55.jpg;a kitchen with a sink, counter, and a large mirror ;a kitchen with a large mirror, sink, and counter;mirror
