text,labels
air conditioner sofa bed curtains refrigerator,0
bed air conditioner double bed rice cooker,0
armchair wardrobe blanket loofah,0
bedsheet armchair twin bed aspirin,0
bedside table nightstand picture television,0
blanket cot cot pepper mill,0
bookshelf fan air conditioner urinal,0
bunk bed duvet clothes valet percolator,0
carpet clothes valet pillow curling iron,0
chair writing desk single bed soap dish,0
clothes valet twin bed bedsheet oven mitt,0
cot bedsheet stool bun warmer,0
curtains picture fan toothbrush,0
double bed mirror bed bidet,0
duvet ironing board hanger cotton balls,0
duvet cover tea table night lamp curlers,0
fan stool wall clock nesting stools,0
hanger carpet duvet brush,0
hat stand utility drawers bookshelf wall art,0
ironing board television armchair yogurt maker,0
mirror wallpaper mirror sink,0
night lamp double bed rug sofa,0
nightstand table duvet cover juicer,0
picture bunk bed shutters stool,0
pillow blanket bunk bed apron,0
rug night lamp ironing board soap,0
shutters slippers nightstand chair,0
single bed duvet cover carpet ice bucket,0
slippers bedside table hat stand curtains,0
sofa bed pillow writing desk tea table,0
stool rug bedside table spatula,0
table bed wardrobe shears,0
table clock curtains utility drawers ice cream maker,0
tea table shutters table clock garbage can,0
television single bed chair wallpaper,0
twin bed wall clock television tablecloth,0
utility drawers table clock wallpaper iron skillet,0
wall clock hanger sofa bed broom,0
wallpaper chair slippers dental floss,0
wardrobe bookshelf table wall mirror,0
writing desk hat stand tea table soap dispenser,0
grandfather clock end of bed bench grandfather clock duvet,1
television poufs clock skewers,1
speaker bookcase ottoman q-tips,1
carpet coat rack coffee table toilet,1
remote television folding screen pizza wheel,1
floor lamp wall shelves end table garbage bag,1
blinds wing chair wall shelves writing desk,1
tv stand table lamps curtains chaise lounge,1
tv end table telephone cooker,1
fan fan carpet can,1
end table curtains floor lamp cupboard,1
curtains cushion wall mounted shelving system utility drawers,1
sofa tv stand floor vase wardrobe,1
cushion fireplace entertainment center sauce boat,1
picture grandfather clock bookshelf sofa,1
telephone indoor plants throw pillows flatware,1
vase wall mounted shelves cushion plate,1
fireplace tea set media storage armchair,1
tea set bar cart accent tables tray,1
table room size mirror curtains single bed,1
wing chair display cabinet room size mirror mold,1
sofa tv fireplace cookbook,1
couch wall sconces credenza medicine,1
floor vase remote nesting stools fruit bowl,1
media console table end of bed bench fireplace,1
wall art throw pillows side table medicine cabinet,1
floor cushions throw blankets sofa tea cup,1
floor to ceiling bookcase credenza tv ointment,1
bookcase floor to ceiling curtains window seat table lamps,1
wall-mounted wine rack bookshelf picture frames napkin,1
coat rack picture frames shelving unit garlic press,1
rug media storage wall mirror nail clippers,1
wall mirror wall mounted speakers tv stand cast iron pan,1
coffee table picture fan indoor plants,1
media storage wall-mounted wine rack blinds powder,1
picture frames wall art wall art slicer,1
throw blankets folding screen display cabinet mirror,1
bean bag chair clock indoor plants shower stall,1
nesting stools floor cushions rug eyedropper,1
accent chair room divider bookcase mouthwash,1
bar cart window seat sofa baking dish,1
wall sconces shelving unit wall mounted tv couch,1
accent tables desk lamp chaise lounge floor to ceiling curtains,1
bookshelf rug floor to ceiling curtains custard cup,1
